,user_id,game_name,raw_ratings
1,76767,Alien Swarm,33.04562732872502
2,298950,Alien Swarm,47.73257280815836
4,1364546,Alien Swarm,34.88149551365418
5,1950243,Alien Swarm,88.12167287660004
6,2110581,Alien Swarm,20.194550034220846
7,2259650,Alien Swarm,77.10646376702505
8,2753525,Alien Swarm,77.10646376702505
9,3527485,Alien Swarm,22.03041821915001
10,3783783,Alien Swarm,36.717363698583355
11,4595423,Alien Swarm,62.4195182875917
12,7907686,Alien Swarm,23.86628640407918
14,9128105,Alien Swarm,27.538022773937517
15,9823354,Alien Swarm,38.553231883512524
17,10450544,Alien Swarm,31.20975914379585
18,10478285,Alien Swarm,27.538022773937517
19,11149819,Alien Swarm,44.06083643830002
20,11373749,Alien Swarm,67.9271228423792
23,11794760,Alien Swarm,25.702154589008348
24,11807754,Alien Swarm,93.62927743138754
26,12423315,Alien Swarm,27.538022773937517
27,12610800,Alien Swarm,67.9271228423792
28,12985315,Alien Swarm,60.583650102662524
29,13565651,Alien Swarm,84.44993650674171
30,14165501,Alien Swarm,47.73257280815836
31,14417857,Alien Swarm,38.553231883512524
33,14544587,Alien Swarm,42.224968253370854
34,14671378,Alien Swarm,20.194550034220846
35,14906179,Alien Swarm,22.03041821915001
36,14962163,Alien Swarm,53.240177362945865
37,15196746,Alien Swarm,71.59885921223753
38,15701750,Alien Swarm,22.03041821915001
39,17017968,Alien Swarm,27.538022773937517
40,17414305,Alien Swarm,49.568440993087535
41,17497581,Alien Swarm,71.59885921223753
44,18036199,Alien Swarm,23.86628640407918
45,19085114,Alien Swarm,45.89670462322919
46,19696244,Alien Swarm,56.9119137328042
47,20200395,Alien Swarm,31.20975914379585
48,20362352,Alien Swarm,38.553231883512524
49,20464587,Alien Swarm,23.86628640407918
50,20772968,Alien Swarm,23.86628640407918
51,21061921,Alien Swarm,67.9271228423792
52,21979395,Alien Swarm,69.76299102730836
53,22301321,Alien Swarm,56.9119137328042
55,23883383,Alien Swarm,58.74778191773337
57,25539892,Alien Swarm,25.702154589008348
58,26465134,Alien Swarm,25.702154589008348
60,26762388,Alien Swarm,25.702154589008348
62,27279261,Alien Swarm,27.538022773937517
63,27545486,Alien Swarm,95.46514561631672
65,28997716,Alien Swarm,33.04562732872502
67,29302014,Alien Swarm,56.9119137328042
68,29983962,Alien Swarm,84.44993650674171
69,30440303,Alien Swarm,34.88149551365418
72,31187179,Alien Swarm,23.86628640407918
77,33518079,Alien Swarm,25.702154589008348
80,33865373,Alien Swarm,23.86628640407918
83,35009482,Alien Swarm,22.03041821915001
84,35039277,Alien Swarm,31.20975914379585
85,35864169,Alien Swarm,23.86628640407918
86,36439985,Alien Swarm,60.583650102662524
87,36546868,Alien Swarm,29.373890958866685
88,36557643,Alien Swarm,55.07604554787503
89,37723786,Alien Swarm,91.79340924645838
90,38049880,Alien Swarm,23.86628640407918
91,39622853,Alien Swarm,31.20975914379585
92,39899978,Alien Swarm,23.86628640407918
93,40212239,Alien Swarm,88.12167287660004
95,42928788,Alien Swarm,23.86628640407918
98,44370809,Alien Swarm,27.538022773937517
100,44482198,Alien Swarm,42.224968253370854
101,45532207,Alien Swarm,22.03041821915001
102,45970552,Alien Swarm,36.717363698583355
104,46301758,Alien Swarm,69.76299102730836
105,47384202,Alien Swarm,38.553231883512524
107,47672756,Alien Swarm,47.73257280815836
108,47887890,Alien Swarm,78.94233195195419
111,48666962,Alien Swarm,88.12167287660004
113,49228258,Alien Swarm,33.04562732872502
114,49312497,Alien Swarm,44.06083643830002
116,49767455,Alien Swarm,22.03041821915001
119,50801801,Alien Swarm,22.03041821915001
121,51085779,Alien Swarm,66.09125465745004
122,51557405,Alien Swarm,27.538022773937517
123,51822361,Alien Swarm,82.61406832181252
124,52731290,Alien Swarm,45.89670462322919
126,53711793,Alien Swarm,27.538022773937517
127,53779471,Alien Swarm,42.224968253370854
128,53784377,Alien Swarm,60.583650102662524
129,54103616,Alien Swarm,53.240177362945865
130,54637394,Alien Swarm,44.06083643830002
132,55426012,Alien Swarm,69.76299102730836
134,56789999,Alien Swarm,60.583650102662524
136,57798235,Alien Swarm,29.373890958866685
137,58345543,Alien Swarm,27.538022773937517
139,59205262,Alien Swarm,23.86628640407918
140,59382844,Alien Swarm,80.77820013688338
141,59662830,Alien Swarm,22.03041821915001
142,59925638,Alien Swarm,36.717363698583355
143,60210313,Alien Swarm,29.373890958866685
146,60859324,Alien Swarm,64.25538647252087
148,61632730,Alien Swarm,25.702154589008348
150,62097332,Alien Swarm,56.9119137328042
151,62878249,Alien Swarm,23.86628640407918
154,63454504,Alien Swarm,73.43472739716671
155,63990035,Alien Swarm,47.73257280815836
156,64023574,Alien Swarm,71.59885921223753
158,64315060,Alien Swarm,23.86628640407918
159,64319625,Alien Swarm,22.03041821915001
160,64394438,Alien Swarm,60.583650102662524
162,65398650,Alien Swarm,29.373890958866685
163,65421540,Alien Swarm,22.03041821915001
164,65533730,Alien Swarm,33.04562732872502
165,65610147,Alien Swarm,36.717363698583355
167,65958466,Alien Swarm,25.702154589008348
168,66463490,Alien Swarm,25.702154589008348
170,66615366,Alien Swarm,66.09125465745004
174,67530228,Alien Swarm,25.702154589008348
176,67628444,Alien Swarm,27.538022773937517
177,67694014,Alien Swarm,67.9271228423792
178,67694595,Alien Swarm,47.73257280815836
179,67708331,Alien Swarm,22.03041821915001
181,68017342,Alien Swarm,47.73257280815836
182,68025732,Alien Swarm,62.4195182875917
184,68414134,Alien Swarm,23.86628640407918
185,68530075,Alien Swarm,25.702154589008348
187,68736721,Alien Swarm,34.88149551365418
188,68809194,Alien Swarm,69.76299102730836
189,68828361,Alien Swarm,86.28580469167086
190,68963476,Alien Swarm,22.03041821915001
193,70915652,Alien Swarm,22.03041821915001
194,72627862,Alien Swarm,71.59885921223753
195,72717958,Alien Swarm,42.224968253370854
196,73946533,Alien Swarm,42.224968253370854
197,74772820,Alien Swarm,44.06083643830002
199,75864605,Alien Swarm,58.74778191773337
200,75988937,Alien Swarm,36.717363698583355
201,76881558,Alien Swarm,64.25538647252087
202,76894278,Alien Swarm,34.88149551365418
203,76933274,Alien Swarm,36.717363698583355
204,77194086,Alien Swarm,89.95754106152921
205,77194239,Alien Swarm,38.553231883512524
206,77214425,Alien Swarm,34.88149551365418
207,77261379,Alien Swarm,23.86628640407918
208,77279068,Alien Swarm,31.20975914379585
209,77794924,Alien Swarm,36.717363698583355
213,80067793,Alien Swarm,49.568440993087535
214,80471276,Alien Swarm,34.88149551365418
216,81160212,Alien Swarm,31.20975914379585
217,81591317,Alien Swarm,25.702154589008348
218,81865111,Alien Swarm,38.553231883512524
219,82020006,Alien Swarm,58.74778191773337
223,82512087,Alien Swarm,25.702154589008348
225,83671083,Alien Swarm,33.04562732872502
226,83770731,Alien Swarm,88.12167287660004
228,86055705,Alien Swarm,51.404309178016696
229,86150792,Alien Swarm,20.194550034220846
230,86448907,Alien Swarm,22.03041821915001
233,86738567,Alien Swarm,47.73257280815836
235,88344296,Alien Swarm,69.76299102730836
236,90711776,Alien Swarm,36.717363698583355
237,93882483,Alien Swarm,75.27059558209585
238,94698408,Alien Swarm,58.74778191773337
239,96902425,Alien Swarm,25.702154589008348
240,98649241,Alien Swarm,49.568440993087535
241,101000574,Alien Swarm,66.09125465745004
242,103638409,Alien Swarm,22.03041821915001
243,105024602,Alien Swarm,67.9271228423792
244,106042595,Alien Swarm,80.77820013688338
245,108758176,Alien Swarm,25.702154589008348
247,111182405,Alien Swarm,31.20975914379585
248,112110682,Alien Swarm,33.04562732872502
249,112784971,Alien Swarm,23.86628640407918
250,113224251,Alien Swarm,23.86628640407918
251,113794086,Alien Swarm,31.20975914379585
253,116411567,Alien Swarm,25.702154589008348
254,119829710,Alien Swarm,20.194550034220846
255,122956129,Alien Swarm,80.77820013688338
256,123734483,Alien Swarm,25.702154589008348
257,127894126,Alien Swarm,64.25538647252087
258,132196353,Alien Swarm,20.194550034220846
260,133534893,Alien Swarm,20.194550034220846
262,134274586,Alien Swarm,27.538022773937517
266,144412676,Alien Swarm,82.61406832181252
268,151042957,Alien Swarm,23.86628640407918
270,155036762,Alien Swarm,67.9271228423792
271,159158411,Alien Swarm,34.88149551365418
272,160887309,Alien Swarm,20.194550034220846
273,165216496,Alien Swarm,27.538022773937517
274,166669789,Alien Swarm,38.553231883512524
275,166858869,Alien Swarm,73.43472739716671
278,174507916,Alien Swarm,42.224968253370854
280,178003047,Alien Swarm,25.702154589008348
281,180236782,Alien Swarm,51.404309178016696
283,183838531,Alien Swarm,25.702154589008348
284,200673341,Alien Swarm,23.86628640407918
285,207365563,Alien Swarm,44.06083643830002
290,298950,Cities Skylines,6.105242913309459
291,1936551,Cities Skylines,3.0526214566547294
292,3449240,Cities Skylines,19.740285419700584
293,5990132,Cities Skylines,2.4420971653237835
294,7431946,Cities Skylines,17.90871254570775
