01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
Myst Masterpiece Edition,myst: masterpiece edition,6312,19761,21846,28251,21835,13,7,15,35,135,0,465,7,46,73,27
Viscera Cleanup Detail Santa's Rampage,viscera cleanup detail: santa's rampage,15329,7365,13710,24861,13867,41,22,42,105,445,1,1355,25,225,66,61
The Treasures of Montezuma 4,the treasures of montezuma 4,20205,20100,49360,141492,109590,1,3,5,9,24,0,52,1,3,70,2
Hard Truck Apocalypse / Ex Machina,,,,,,,,,,,,,,,,,
Portal 2,portal 2,7231,30952,49117,76390,37456,3873,1603,476,5952,23455,53,10647,268,681,91,4584
Scarygirl,scarygirl,8169,18600,19928,133200,29564,3,2,1,6,16,0,86,0,11,48,5
TowerFall Ascension,towerfall ascension,17299,12904,40415,114715,19709,37,19,1,57,316,0,1739,17,211,78,111
East India Company Pirate Bay,east india company: pirate bay,29172,10800,0,0,10800,1,0,0,1,1,0,12,0,3,40,1
H1Z1 Test Server,,,,,,,,,,,,,,,,,
Prison Architect,prison architect,7308,58476,138020,224259,98792,74,40,21,135,773,0,4378,65,799,73,152
Build-A-Lot 4,build-a-lot 4: power source,14970,23408,0,0,23408,1,0,0,1,2,0,7,0,2,60,2
VVVVVV,vvvvvv,10992,8667,12315,17309,10543,573,346,99,1018,3141,17,4065,33,672,78,645
Costume Quest,costume quest,1947,19906,23020,26485,23674,200,226,390,816,2198,1,3339,34,295,73,460
Farming Simulator 15,farming simulator 15,25196,132024,431315,894784,427927,8,6,8,22,70,0,199,12,109,76,16
Fallout 3 - Game of the Year Edition,,,,,,,,,,,,,,,,,
The Detail,the detail,37080,15041,22302,31639,17809,16,5,4,25,27,1,51,0,3,60,13
Amazing World,amazing world,20473,0,0,0,0,0,0,0,0,7,0,108,3,40,0,0
Aftermath,aftermath,12471,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
The Basement Collection,the basement collection,9775,22478,55719,137700,59574,15,5,12,32,230,0,1834,15,356,64,33
Take On Mars,take on mars,18239,108000,171000,225000,160500,2,2,2,6,11,0,159,6,19,55,2
Mabinogi,mabinogi,17803,0,23400000,0,23400000,0,1,0,1,10,0,169,7,119,68,4
The Magic Circle,the magic circle,26874,12515,15947,33538,16210,35,40,14,89,246,0,799,6,58,72,41
OMSI 2,omsi 2,28019,720000,792000,3960000,1557000,1,1,2,4,6,0,18,5,3,0,0
Xpand Rally Xtreme,xpand rally xtreme,18087,14100,24720,189780,33942,2,1,2,5,11,0,76,0,16,52,5
Dragon's Prophet (EU),,,,,,,,,,,,,,,,,
ACE COMBAT ASSAULT HORIZON Enhanced Edition,ace combat: assault horizon,173,30543,46964,295759,41066,108,15,8,131,419,2,1359,17,202,66,95
Medieval II Total War,medieval ii: total war,5792,111463,245378,510570,194533,36,26,10,72,484,5,2583,28,468,84,106
The Political Machine,the political machine,10131,0,60270,0,60270,0,2,0,2,31,0,82,1,30,100,1
Sinister City,sinister city,18253,6610,9839,10120,8898,8,6,28,42,86,0,251,7,29,45,17
Dragon Age II,dragon age ii,2756,95120,133904,208210,137338,247,821,240,1308,2691,3,2307,11,174,73,975
Freight Tycoon Inc.,,,,,,,,,,,,,,,,,
The Binding of Isaac,the binding of isaac,9781,39203,169270,494365,151879,193,148,109,450,2435,6,4971,88,1947,77,473
Wallace & Gromit Ep 2 The Last Resort,wallace & gromit's grand adventures - ep 2: the last resort,98492,8119,8209,8139,8210,30,3,23,56,169,0,1154,6,140,68,24
The Amazing Spider-Man,the amazing spider-man,9759,31083,48298,74130,45916,96,89,54,239,649,3,400,5,77,67,219
Teddy Floppy Ear - The Race,,,,,,,,,,,,,,,,,
Hitman Codename 47,hitman: codename 47,4478,40134,50786,52858,44150,139,33,37,209,815,1,3254,39,458,65,203
Wolfenstein The New Order German Edition,,,,,,,,,,,,,,,,,
Football Tactics,football tactics,30613,52200,361800,0,239100,1,2,0,3,11,0,27,3,10,70,4
