searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
Cyberpunk 2077,,1005.0,REDengine 4,Shooter,Role-playing (RPG),Adventure,cyberpunk,cybernetics,sandbox,sci-fi,role playing,Cyberpunk 2077,78.0973190452673,474.0,Action,Action,Sandbox,Open world,
,,,,,,,,,,,,,,,,,,,
Elden Ring,,104.0,,Role-playing (RPG),Adventure,,soulslike,openworld,,,,Elden Ring,96.1390540681402,283.0,Action,Action,Open world,,
Persona 5 Royal,Persona,48.0,,Role-playing (RPG),Turn-based strategy (TBS),Adventure,jrpg,enhanced version,turn-based combat,joker,,Persona 5 Royal,97.9637460904766,175.0,Action,Action,,,
God of War,God of War,299.0,Kinetica,Strategy,Hack and slash/Beat 'em up,Adventure,greek mythology,blood,gravity,medieval,puzzle solving,God of War,84.7339142724806,787.0,Action,Action,Historical,,
Red Dead Redemption 2,Red Dead Redemption,760.0,RAGE,Shooter,Role-playing (RPG),Adventure,cowboys,western,horse,action-adventure,cowboy,Red Dead Redemption 2,92.76440837079679,1512.0,Action,Action,Open world,,
The Witcher 3: Wild Hunt,The Witcher,1529.0,REDengine,Role-playing (RPG),Adventure,,blood,medieval,sword,fantasy,dark fantasy,The Witcher 3: Wild Hunt,94.6904941028084,3232.0,Action,Action,Open world,,
