,01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
0,Cyberpunk 2077,cyberpunk 2077,2127,85243,214419,371801,225805,930,2910,1185,5025,7219,5,5495,697,401,78,2471,,1005.0,REDengine 4,Shooter,Role-playing (RPG),Adventure,cyberpunk,cybernetics,sandbox,sci-fi,role playing,Cyberpunk 2077,78.0973190452673,474.0,Action,Action,Sandbox,Open world,
1,The Witcher 3: Wild Hunt,the witcher 3: wild hunt,10270,184641,371333,623261,368295,2165,5280,1812,9257,15997,16,15936,348,847,94,4080,The Witcher,1529.0,REDengine,Role-playing (RPG),Adventure,,blood,medieval,sword,fantasy,dark fantasy,The Witcher 3: Wild Hunt,94.6904941028084,3232.0,Action,Action,Open world,,
2,Red Dead Redemption 2,red dead redemption 2,27100,179527,287934,628980,273408,1244,2564,340,4148,8406,4,7172,347,421,93,3109,Red Dead Redemption,760.0,RAGE,Shooter,Role-playing (RPG),Adventure,cowboys,western,horse,action-adventure,cowboy,Red Dead Redemption 2,92.76440837079679,1512.0,Action,Action,Open world,,
3,God of War,god of war,38050,74338,116860,183799,115574,1776,2130,1410,5316,11959,2,6182,462,198,92,4084,God of War,299.0,Kinetica,Strategy,Hack and slash/Beat 'em up,Adventure,greek mythology,blood,gravity,medieval,puzzle solving,God of War,84.7339142724806,787.0,Action,Action,Historical,,
4,Elden Ring,elden ring,68151,195623,356119,476336,382560,442,2243,1584,4269,5540,4,2749,569,227,93,2007,,104.0,,Role-playing (RPG),Adventure,,soulslike,openworld,,,,Elden Ring,96.1390540681402,283.0,Action,Action,Open world,,
5,Persona 5 Royal,persona 5 royal,66630,369792,447440,515236,448420,662,1383,874,2919,3823,1,2960,511,86,95,1471,Persona,48.0,,Role-playing (RPG),Turn-based strategy (TBS),Adventure,jrpg,enhanced version,turn-based combat,joker,,Persona 5 Royal,97.9637460904766,175.0,Action,Action,,,
6,God of War: Ragnarök,god of war: ragnarök,83146,87066,129538,180000,143296,214,369,380,963,1025,0,816,645,7,93,373,,,,,,,,,,,,,,,,,,,
