     ,01_game_name                                                                      ,02_hltb_name                                                                       ,03_hltb_id ,04_time_main ,05_time_plus ,06_time_100 ,07_time_allstyle ,08_count_main ,09_count_plus ,10_count_100 ,11_count_allstyle ,12_count_completed ,13_count_speedrun ,14_count_backlog ,15_count_playing ,16_count_retired ,17_review_score ,18_count_review ,collection                                        ,follows ,game_engines                   ,genre1                     ,genre2                     ,genre3                     ,keywords1                    ,keywords2                          ,keywords3                     ,keywords4                         ,keywords5                                             ,name                                                       ,rating            ,rating_count ,themes1                                          ,themes2         ,themes3                                          ,themes4                                          ,themes5
 124 ,TDP4Team Battle                                                                   ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 125 ,DOOM 3 BFG Edition                                                                ,doom 3: bfg edition                                                                ,      2705 ,       34596 ,       57066 ,     133217 ,           50371 ,          150 ,          112 ,          37 ,              299 ,               894 ,                1 ,            2266 ,              43 ,             208 ,             71 ,            222 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 126 ,A Virus Named TOM                                                                 ,a virus named tom                                                                  ,       143 ,       14448 ,       39360 ,      96884 ,           21173 ,           28 ,           11 ,           3 ,               42 ,               171 ,                0 ,            2448 ,              17 ,             542 ,             59 ,             37 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 127 ,Cricket Revolution                                                                ,cricket revolution                                                                 ,     19271 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 0 ,                0 ,              17 ,               0 ,              12 ,              0 ,              0 ,                                                  ,    0.0 ,                               ,Shooter                    ,Simulator                  ,Sport                      ,cricket                      ,shooter                            ,simulation                    ,sports                            ,digital distribution                                  ,Cricket Revolution                                         ,50.0              ,         1.0 ,                                                 ,                ,                                                 ,                                                 ,
 128 ,Spec Ops The Line                                                                 ,spec ops: the line                                                                 ,      8898 ,       21992 ,       26916 ,      56437 ,           24710 ,         2205 ,          928 ,         207 ,             3340 ,              8741 ,                2 ,            6496 ,              85 ,             484 ,             79 ,           2133 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 129 ,Card Hunter                                                                       ,card hunter                                                                        ,     13582 ,      106747 ,      106920 ,          0 ,          107186 ,            5 ,            1 ,           0 ,                6 ,                43 ,                0 ,             869 ,              21 ,             355 ,             71 ,             15 ,                                                  ,    8.0 ,                               ,Role-playing (RPG)         ,Strategy                   ,Turn-based strategy (TBS)  ,medieval                     ,sword                              ,fantasy                       ,turn-based                        ,role playing                                          ,Card Hunter                                                ,81.44311985953239 ,         9.0 ,Historical                                       ,                ,                                                 ,                                                 ,
 130 ,Dustforce                                                                         ,dustforce                                                                          ,      2982 ,      121646 ,      125445 ,     146460 ,          127867 ,           10 ,            7 ,           6 ,               23 ,               171 ,                0 ,            3019 ,              29 ,             548 ,             74 ,             50 ,                                                  ,    0.0 ,                               ,                           ,                           ,                           ,action game                  ,playstation 3                      ,ps3                           ,platformer game                   ,dustforce                                             ,Dustforce                                                  ,71.2360161816927  ,         9.0 ,Action                                           ,                ,                                                 ,                                                 ,
 131 ,Broken Sword 4 - the Angel of Death                                               ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 132 ,NBA 2K13                                                                          ,nba 2k13                                                                           ,      6430 ,      265635 ,      894630 ,    2393075 ,          523373 ,            8 ,            7 ,           2 ,               17 ,               114 ,                0 ,             139 ,               0 ,             118 ,             75 ,             38 ,NBA 2K                                            ,    8.0 ,                               ,Simulator                  ,Sport                      ,Strategy                   ,basketball                   ,nba                                ,simulation                    ,sports                            ,achievements                                          ,NBA 2K13                                                   ,77.6162236601679  ,        35.0 ,                                                 ,                ,                                                 ,                                                 ,
 133 ,Tom Clancy's Ghost Recon Phantoms - NA                                            ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 134 ,MacGuffin's Curse                                                                 ,macguffin's curse                                                                  ,      5475 ,       40746 ,       51343 ,      54921 ,           50397 ,            4 ,            6 ,          13 ,               23 ,                49 ,                0 ,             243 ,               4 ,              37 ,             60 ,             10 ,                                                  ,    0.0 ,                               ,Puzzle                     ,Adventure                  ,Indie                      ,adventure                    ,steam                              ,steam trading cards           ,puzzle                            ,gold                                                  ,MacGuffin's Curse                                          ,70.0              ,         0.0 ,                                                 ,                ,                                                 ,                                                 ,
 135 ,18 Wheels of Steel American Long Haul                                             ,18 wheels of steel: american long haul                                             ,        50 ,       72000 ,       90000 ,      90000 ,           83250 ,            1 ,            2 ,           1 ,                4 ,                 7 ,                0 ,              67 ,               3 ,              25 ,             53 ,              4 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 136 ,Toribash                                                                          ,toribash                                                                           ,     17588 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                61 ,                0 ,             528 ,              19 ,             368 ,             72 ,             11 ,                                                  ,    6.0 ,                               ,Fighting                   ,Simulator                  ,Strategy                   ,free to play ( f2p )         ,fighting                           ,fighting simulator            ,violence                          ,abstract                                              ,Toribash                                                   ,68.5564497837962  ,        14.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
 137 ,Deus Ex Game of the Year Edition                                                  ,deus ex                                                                            ,      2486 ,       82500 ,      103134 ,     139055 ,          100523 ,          261 ,          420 ,         121 ,              802 ,              2224 ,                3 ,            7344 ,              64 ,             676 ,             89 ,            606 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 138 ,GRID 2                                                                            ,race driver: grid                                                                  ,      7510 ,       71719 ,       86500 ,     126557 ,           88341 ,           81 ,           40 ,          45 ,              166 ,               600 ,                0 ,            3115 ,              27 ,             686 ,             77 ,            176 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 139 ,"Invisible, Inc."                                                                 ,"invisible, inc."                                                                  ,     18228 ,       25827 ,       73404 ,     272940 ,           38513 ,          112 ,           36 ,           5 ,              153 ,               524 ,                0 ,            3096 ,              34 ,             226 ,             76 ,            114 ,                                                  ,   29.0 ,Moai                           ,Strategy                   ,Turn-based strategy (TBS)  ,Tactical                   ,assassin                     ,spy                                ,cyberpunk                     ,indie                             ,stealth                                               ,"Invisible, Inc."                                          ,77.05111072469239 ,        53.0 ,Action                                           ,Action          ,Stealth                                          ,                                                 ,
 140 ,Anno 1404                                                                         ,anno 1404                                                                          ,       485 ,       64184 ,      132536 ,     360883 ,          104798 ,           24 ,           25 ,           3 ,               52 ,               164 ,                0 ,             551 ,               8 ,             144 ,             77 ,             63 ,Anno                                              ,   51.0 ,                               ,Real Time Strategy (RTS)   ,Simulator                  ,Strategy                   ,city building and management ,construction                       ,fire                          ,resource management               ,city-building                                         ,Anno 1404                                                  ,80.22926144129141 ,       120.0 ,Fantasy                                          ,Fantasy         ,                                                 ,                                                 ,
 141 ,You Must Build A Boat                                                             ,you must build a boat                                                              ,     26636 ,       26779 ,       38651 ,      72187 ,           32815 ,           73 ,           32 ,          13 ,              118 ,               318 ,                0 ,             355 ,               4 ,              49 ,             74 ,             64 ,10000000                                          ,    0.0 ,                               ,Puzzle                     ,Role-playing (RPG)         ,Strategy                   ,wizards                      ,ninja                              ,demon                         ,vampire                           ,magic                                                 ,You Must Build A Boat                                      ,80.0              ,         3.0 ,Action                                           ,                ,                                                 ,                                                 ,
 142 ,Styx Master of Shadows                                                            ,styx: master of shadows                                                            ,     21586 ,       61970 ,       81727 ,     153565 ,           83636 ,           92 ,          118 ,          48 ,              258 ,               574 ,                2 ,            3159 ,              53 ,             257 ,             69 ,            163 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 143 ,Mitos.is The Game                                                                 ,mitos.is: the game                                                                 ,     31949 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                21 ,                0 ,             157 ,              10 ,             119 ,             53 ,              4 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 144 ,Dungeons & Dragons Online                                                         ,dungeons & dragons online                                                          ,      2966 ,      360000 ,      522000 ,          0 ,          441000 ,            1 ,            1 ,           0 ,                2 ,                19 ,                0 ,             305 ,              13 ,             202 ,             76 ,              7 ,Dungeons & Dragons                                ,    4.0 ,                               ,Role-playing (RPG)         ,Adventure                  ,                           ,orcs                         ,sword                              ,fantasy                       ,health                            ,dragons                                               ,Dungeons & Dragons Online                                  ,67.4469207949016  ,        15.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
 145 ,Camera Obscura                                                                    ,camera obscura                                                                     ,     25375 ,       29726 ,       44550 ,      74400 ,           37945 ,            7 ,            2 ,           3 ,               12 ,                38 ,                0 ,             794 ,              13 ,             120 ,             60 ,              5 ,                                                  ,    0.0 ,                               ,Platform                   ,Puzzle                     ,Strategy                   ,fantasy                      ,puzzles                            ,steam                         ,pixel graphics                    ,platformer                                            ,Camera Obscura                                             ,50.0              ,         1.0 ,Action                                           ,                ,                                                 ,                                                 ,
 146 ,Runers                                                                            ,runers                                                                             ,     21510 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 2 ,                0 ,              79 ,               0 ,              15 ,             45 ,              2 ,                                                  ,    0.0 ,                               ,Shooter                    ,Role-playing (RPG)         ,Indie                      ,orcs                         ,indie                              ,vampire                       ,magic                             ,fantasy                                               ,Runers                                                     ,80.0              ,         2.0 ,Fantasy                                          ,                ,                                                 ,                                                 ,
 147 ,Lego Harry Potter                                                                 ,lego creator: harry potter                                                         ,     73333 ,           0 ,      108000 ,          0 ,          108000 ,            0 ,            1 ,           0 ,                1 ,                 5 ,                0 ,               3 ,               0 ,               1 ,              0 ,              0 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 148 ,Batman Arkham Knight                                                              ,batman: arkham knight                                                              ,     18005 ,       59152 ,      111182 ,     176464 ,          107254 ,          814 ,         1513 ,         602 ,             2929 ,              7816 ,                0 ,            8132 ,             146 ,             426 ,             82 ,           2035 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
 149 ,Nuclear Dawn                                                                      ,nuclear dawn                                                                       ,      6681 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                40 ,                0 ,             904 ,               9 ,             256 ,             55 ,              4 ,                                                  ,    3.0 ,Source                         ,Shooter                    ,Real Time Strategy (RTS)   ,Strategy                   ,modern warfare               ,vehicular combat                   ,post-apocalyptic              ,first person shooter              ,tactical shooter                                      ,Nuclear Dawn                                               ,58.2863757081965  ,         5.0 ,Action                                           ,Action          ,Warfare                                          ,                                                 ,
 150 ,Penguins Arena Sedna's World                                                      ,penguins arena: sedna's world                                                      ,      6955 ,        2727 ,           0 ,      16358 ,           13772 ,            3 ,            0 ,           8 ,               11 ,                40 ,                0 ,             475 ,               6 ,              80 ,             38 ,              6 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
