,user_id,game_name, time_is_play,searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15,80779496,The Talos Principle,31.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
16,82385352,The Talos Principle,71.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
17,95699780,The Talos Principle,4.9,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
18,100351493,The Talos Principle,4.4,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
19,101878879,The Talos Principle,1.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
20,107452765,The Talos Principle,1.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
21,124059151,The Talos Principle,1.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
22,132300630,The Talos Principle,14.1,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
23,153076975,The Talos Principle,35.0,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
24,180753437,The Talos Principle,1.3,The Talos Principle,,104.0,Serious Engine 4,Puzzle,Adventure,Indie,robot,indie,puzzle solving,sword,minigames,The Talos Principle,87.2887619677911,304.0,Action,Action,,,,the talos principle,22530,56887,75999,101781,75701,309,407,272,988,2437,4,4855,61,413,85,577,15542,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
