,searchingName,collection,follows,franchise,game_engines,genre1,genre2,genre3,keywords1,keywords2,name,rating,rating_count,themes1,themes2,themes3
65,Cities in Motion,373.0,9.0,,,13.0,15.0,,"id: 21
","id: 994
",Cities in Motion,69.0348864711241,16.0,28.0,,
66,East India Company,0.0,0.0,,,11.0,15.0,,"id: 504
","id: 864
",East India Company,50.0,3.0,17.0,22.0,41.0
67,,,,,,,,,,,,,,,,
68,Mirror's Edge,428.0,256.0,,6.0,5.0,8.0,31.0,"id: 103
","id: 386
",Mirror's Edge,77.6774970885637,730.0,1.0,,
69,,,,,,,,,,,,,,,,
70,War for the Overworld,0.0,16.0,,13.0,11.0,13.0,15.0,"id: 115
","id: 117
",War for the Overworld,77.3728191079499,21.0,17.0,,
71,Act of Aggression,0.0,4.0,,,11.0,15.0,26.0,"id: 1
","id: 70
",Act of Aggression,50.0,3.0,18.0,27.0,39.0
72,Mortal Kombat X,22.0,131.0,,6.0,4.0,,,"id: 61
","id: 107
",Mortal Kombat X,80.41964237578921,335.0,1.0,,
73,Pro Evolution Soccer 2014,195.0,8.0,,29.0,13.0,14.0,,"id: 26
","id: 1166
",Pro Evolution Soccer 2014,68.2289546992384,51.0,,,
74,Championship Manager 2010,836.0,0.0,,,14.0,,,"id: 26
",,Championship Manager 2010,0.0,0.0,,,
75,Assassin's Creed III,18.0,322.0,,10.0,15.0,31.0,,"id: 22
","id: 64
",Assassin's Creed III,73.4328713351629,1048.0,1.0,17.0,18.0
76,Defiance,0.0,2.0,,,5.0,12.0,15.0,"id: 69
","id: 125
",Defiance,65.5670870404967,16.0,1.0,18.0,
77,The Crew,2719.0,60.0,,73.0,10.0,31.0,,"id: 155
","id: 484
",The Crew,66.1832403569532,110.0,1.0,38.0,
78,F.E.A.R. 3,95.0,41.0,,1041.0,5.0,31.0,,"id: 5
","id: 129
",F.E.A.R. 3,68.2014638732799,156.0,1.0,18.0,19.0
79,Football Manager 2014,202.0,9.0,,,13.0,14.0,15.0,"id: 26
","id: 27
",Football Manager 2014,88.06865009383961,32.0,,,
80,Majesty 2 Collection,0.0,3.0,,,13.0,15.0,,"id: 1905
",,Majesty 2 Collection,51.9289241553614,5.0,17.0,27.0,
81,Goodbye Deponia,750.0,21.0,,347.0,2.0,9.0,31.0,"id: 67
","id: 80
",Goodbye Deponia,82.3550159497592,67.0,18.0,27.0,
82,Alone in the Dark,364.0,18.0,,,9.0,31.0,,"id: 16
","id: 203
",Alone in the Dark,72.6102964530867,47.0,1.0,17.0,19.0
83,Fable III,92.0,44.0,,,12.0,25.0,31.0,"id: 121
","id: 129
",Fable III,67.4430126937484,191.0,1.0,17.0,27.0
84,Magicka,372.0,49.0,,103.0,12.0,15.0,31.0,"id: 96
","id: 147
",Magicka,72.2396899751949,142.0,1.0,17.0,27.0
85,Football Manager 2011,202.0,5.0,,,13.0,14.0,15.0,"id: 26
","id: 994
",Football Manager 2011,89.0332375463644,28.0,32.0,,
86,Damnation,0.0,4.0,,,5.0,31.0,,"id: 9
","id: 19
",Damnation,64.9522846141673,11.0,1.0,17.0,18.0
87,Just Cause,111.0,40.0,,17.0,5.0,10.0,31.0,"id: 1
","id: 21
",Just Cause,62.995130999509,132.0,1.0,33.0,38.0
88,GTR Evolution,1387.0,1.0,,265.0,10.0,13.0,,"id: 401
","id: 484
",GTR Evolution,0.0,0.0,,,
89,Ghost Pirates of Vooju Island,0.0,2.0,,,31.0,,,"id: 16
","id: 1158
",Ghost Pirates of Vooju Island,50.0,1.0,,,
90,Metro 2033,82.0,225.0,,18.0,5.0,12.0,,"id: 16
","id: 22
",Metro 2033,82.2709183857948,619.0,1.0,18.0,19.0
91,Just Cause 3,111.0,179.0,,,31.0,,,"id: 1
","id: 21
",Just Cause 3,76.5252142801518,281.0,1.0,38.0,
92,Company of Heroes,296.0,71.0,,17.0,11.0,15.0,,"id: 19
","id: 129
",Company of Heroes,85.6112786257145,163.0,1.0,22.0,39.0
93,Sid Meier's Civilization V,89.0,395.0,"id: 10
",107.0,13.0,15.0,16.0,"id: 1
","id: 21
",Sid Meier's Civilization V,85.8241185964082,878.0,17.0,18.0,22.0
94,Captain Morgane and the Golden Turtle,0.0,1.0,,,31.0,,,"id: 4
","id: 151
",Captain Morgane and the Golden Turtle,50.0,1.0,22.0,,
95,DarkStar One,2256.0,5.0,,,13.0,,,"id: 23
","id: 24
",DarkStar One,80.0366579519313,9.0,1.0,18.0,
96,NBA 2K12,659.0,9.0,"id: 16
",,13.0,14.0,15.0,"id: 58
","id: 809
",NBA 2K12,84.4070929368786,32.0,,,
97,LEGO The Lord of the Rings,739.0,48.0,"id: 11
",,31.0,,,"id: 96
","id: 205
",LEGO The Lord of the Rings,74.4393949457135,129.0,1.0,27.0,
98,Grand Theft Auto IV,847.0,466.0,,26.0,5.0,10.0,31.0,"id: 11
","id: 17
",Grand Theft Auto IV,83.40820413456998,1272.0,1.0,38.0,
99,Mass Effect,25.0,0.0,,,12.0,,,,,Mass Effect,0.0,0.0,1.0,18.0,
100,Prey,102.0,39.0,,48.0,5.0,,,"id: 3
","id: 16
",Prey,75.2848920837794,147.0,1.0,18.0,
101,F1 2010,819.0,14.0,,99.0,10.0,13.0,14.0,"id: 620
","id: 1148
",F1 2010,78.31400823356199,37.0,32.0,,
102,Mass Effect 2,25.0,801.0,,351.0,5.0,12.0,13.0,"id: 3
","id: 22
",Mass Effect 2,91.4466653492176,1944.0,1.0,18.0,
103,Wasteland 2,566.0,35.0,,13.0,12.0,15.0,16.0,"id: 69
","id: 132
",Wasteland 2,70.6614038581845,66.0,1.0,18.0,21.0
104,Elven Legacy,376.0,1.0,,,12.0,15.0,16.0,"id: 296
","id: 906
",Elven Legacy,60.0,3.0,17.0,,
105,Max Payne,81.0,0.0,,,5.0,,,"id: 1025
","id: 1309
",Max Payne,72.7925757489743,12.0,1.0,,
106,Tomb Raider II,183.0,83.0,,,5.0,8.0,31.0,"id: 21
","id: 25
",Tomb Raider II,80.4666146984602,222.0,1.0,,
107,,,,,,,,,,,,,,,,
108,Take On Helicopters,1933.0,1.0,,,13.0,,,"id: 21
","id: 56
",Take On Helicopters,50.0,2.0,33.0,38.0,
109,Sid Meier's Railroads!,149.0,5.0,,54.0,13.0,15.0,,"id: 379
","id: 915
",Sid Meier's Railroads!,77.0799920803164,10.0,28.0,,
110,Sonic Generations,2156.0,0.0,,1059.0,8.0,31.0,,"id: 170
","id: 7549
",Sonic Generations,55.08544391069641,5.0,1.0,18.0,35.0
111,Overlord II,84.0,18.0,,,12.0,15.0,25.0,"id: 11
","id: 62
",Overlord II,77.719849719003,49.0,1.0,17.0,27.0
112,Saints Row 2,197.0,0.0,,,,,,,,Saints Row 2,0.0,0.0,,,
113,Cities XL 2011,684.0,1.0,,,13.0,,,"id: 994
","id: 1148
",Cities XL 2011,0.0,0.0,33.0,,
114,Assassin's Creed II,18.0,0.0,,,8.0,31.0,,,,Assassin's Creed II,0.0,0.0,1.0,17.0,18.0
115,Peggle Nights,655.0,6.0,,,9.0,30.0,,"id: 296
","id: 934
",Peggle Nights,84.26297123074579,16.0,,,
116,Contrast,0.0,0.0,,,32.0,,,,,Contrast,0.0,0.0,1.0,,
117,Syberia,1073.0,97.0,,102.0,2.0,9.0,31.0,"id: 67
","id: 197
",Syberia,80.8592422451177,210.0,31.0,43.0,
118,Oil Rush,0.0,1.0,,,11.0,15.0,32.0,"id: 69
","id: 77
",Oil Rush,50.0,3.0,18.0,,
119,Rugby League Team Manager 2015,0.0,0.0,,,13.0,14.0,15.0,"id: 313
","id: 994
",Rugby League Team Manager 2015,50.0,0.0,1.0,,
120,Sacred 3,231.0,9.0,,,12.0,33.0,,"id: 226
","id: 296
",Sacred 3,58.8205666314619,16.0,1.0,17.0,
121,Football Manager 2016,202.0,3.0,,,13.0,14.0,15.0,"id: 26
","id: 27
",Football Manager 2016,85.4145719630499,25.0,,,
122,Ski Region Simulator,0.0,0.0,,,13.0,,,,,Ski Region Simulator,60.0,0.0,,,
123,APB Reloaded,0.0,7.0,,351.0,5.0,31.0,,"id: 25
","id: 92
",APB Reloaded,62.5025746996925,20.0,1.0,,
124,A Vampyre Story,630.0,5.0,,,2.0,9.0,31.0,"id: 211
","id: 296
",A Vampyre Story,68.2076764343106,9.0,27.0,,
125,X Rebirth,594.0,3.0,,,5.0,11.0,13.0,"id: 3
","id: 72
",X Rebirth,66.0580770360123,6.0,1.0,17.0,18.0
126,Trials Fusion,439.0,29.0,,,8.0,10.0,14.0,"id: 57
","id: 59
",Trials Fusion,76.4620668078876,82.0,32.0,,
127,Sonic & All-Stars Racing Transformed,2854.0,36.0,,1108.0,10.0,14.0,,"id: 67
","id: 164
",Sonic & All-Stars Racing Transformed,80.07316947709411,119.0,1.0,17.0,18.0
128,Company of Heroes 2,296.0,35.0,,105.0,11.0,13.0,15.0,"id: 19
","id: 558
",Company of Heroes 2,79.9278465882602,75.0,39.0,,
129,BioShock 2,1.0,276.0,,6.0,5.0,12.0,31.0,"id: 22
","id: 67
",BioShock 2,80.88937042006309,796.0,1.0,18.0,20.0
130,Call of Juarez,46.0,39.0,,78.0,5.0,,,,,Call of Juarez,74.3594232663637,120.0,1.0,,
131,Stronghold Kingdoms,5360.0,0.0,,,11.0,12.0,13.0,"id: 151
","id: 900
",Stronghold Kingdoms,50.0,1.0,1.0,22.0,38.0
132,LEGO The Hobbit,726.0,24.0,"id: 208
",,9.0,12.0,31.0,"id: 96
","id: 147
",LEGO The Hobbit,69.963038057482,71.0,1.0,17.0,27.0
133,Alpha Protocol,0.0,31.0,,6.0,5.0,12.0,,"id: 103
","id: 132
",Alpha Protocol,74.6064054602952,112.0,1.0,23.0,
134,Gray Matter,0.0,8.0,,,2.0,31.0,,"id: 296
","id: 846
",Gray Matter,62.8242279791578,24.0,19.0,43.0,
135,The Evil Within,1237.0,113.0,,47.0,5.0,31.0,,"id: 79
","id: 129
",The Evil Within,74.70220533298941,279.0,1.0,19.0,21.0
136,NBA 2K13,659.0,8.0,"id: 16
",,13.0,14.0,15.0,"id: 58
","id: 809
",NBA 2K13,77.6162236601679,35.0,,,
137,The First Templar,0.0,1.0,,,12.0,31.0,,"id: 132
","id: 151
",The First Templar,64.5282904854128,8.0,1.0,17.0,22.0
138,BioShock Infinite,1.0,659.0,,6.0,5.0,31.0,,"id: 22
","id: 129
",BioShock Infinite,86.0932371483525,1983.0,1.0,17.0,18.0
139,Hospital Tycoon,0.0,0.0,,,,,,,,Hospital Tycoon,0.0,0.0,,,
140,Bejeweled Twist,368.0,1.0,,,9.0,15.0,,"id: 733
","id: 1158
",Bejeweled Twist,73.6634934713748,6.0,,,
141,DiRT 3,6154.0,53.0,,99.0,10.0,14.0,,"id: 28
","id: 484
",DiRT 3,77.3883223649804,165.0,32.0,,
142,Half-Life 2,35.0,901.0,,3.0,5.0,,,"id: 3
","id: 5
",Half-Life 2,90.7904153840505,2215.0,1.0,18.0,19.0
143,DC Universe Online,3248.0,16.0,,6.0,4.0,12.0,31.0,"id: 14
","id: 262
",DC Universe Online,65.72038263798109,41.0,1.0,17.0,38.0
144,The Secret World,0.0,11.0,,436.0,12.0,31.0,,"id: 79
","id: 170
",The Secret World,74.85055394179119,18.0,1.0,17.0,18.0
145,The Void,0.0,7.0,,283.0,31.0,32.0,,"id: 156
","id: 176
",The Void,79.50882976702201,20.0,1.0,19.0,
146,Pro Evolution Soccer 2016,195.0,25.0,,29.0,13.0,14.0,,"id: 26
","id: 27
",Pro Evolution Soccer 2016,70.8400376321393,66.0,,,
147,Dying Light,5441.0,250.0,,78.0,5.0,12.0,31.0,"id: 5
","id: 69
",Dying Light,80.7258381875491,617.0,1.0,19.0,21.0
148,Left 4 Dead 2,26.0,268.0,,3.0,5.0,,,"id: 5
","id: 453
",Left 4 Dead 2,82.32945212675361,776.0,1.0,19.0,21.0
149,Emergency 2012,547.0,0.0,,,13.0,15.0,,"id: 2538
",,Emergency 2012,0.0,0.0,32.0,34.0,
150,Borderlands,225.0,246.0,,6.0,5.0,12.0,,"id: 69
","id: 453
",Borderlands,79.91881062649641,737.0,1.0,18.0,38.0
151,The Testament of Sherlock Holmes,880.0,19.0,"id: 297
",,2.0,9.0,31.0,"id: 256
","id: 954
",The Testament of Sherlock Holmes,77.7774240329834,94.0,31.0,,
152,Fallout 3,3.0,537.0,,54.0,5.0,12.0,,"id: 3
","id: 8
",Fallout 3,83.4676149896672,1287.0,1.0,18.0,21.0
153,Men of War,245.0,9.0,,,11.0,13.0,15.0,"id: 19
","id: 562
",Men of War,79.8320597857139,9.0,1.0,39.0,
154,Football Manager 2015,202.0,18.0,,,13.0,14.0,15.0,"id: 26
","id: 27
",Football Manager 2015,81.82390160818119,39.0,,,
155,,,,,,,,,,,,,,,,
156,Farming Simulator 2011,2793.0,0.0,,,13.0,,,"id: 1103
","id: 1148
",Farming Simulator 2011,80.0,3.0,38.0,,
157,Two Worlds II,1245.0,16.0,,,12.0,,,,,Two Worlds II,71.2873810474923,35.0,1.0,17.0,38.0
158,Tomb Raider,183.0,0.0,,,5.0,8.0,9.0,,,Tomb Raider,0.0,0.0,1.0,21.0,33.0
159,Dungeon Siege III,72.0,9.0,,150.0,12.0,,,"id: 174
","id: 227
",Dungeon Siege III,69.6423198461322,48.0,1.0,17.0,
160,Tom Clancy's EndWar,0.0,3.0,,,11.0,15.0,16.0,"id: 2898
","id: 17215
",Tom Clancy's EndWar,63.0715732776681,8.0,1.0,,
161,Post Mortem,1081.0,8.0,,,2.0,31.0,,"id: 215
","id: 221
",Post Mortem,77.6672503448192,22.0,20.0,43.0,
162,Dishonored,1494.0,411.0,,6.0,12.0,31.0,,"id: 22
","id: 72
",Dishonored,85.06545082666699,1268.0,1.0,23.0,
163,Anno 2070,158.0,31.0,,,11.0,13.0,15.0,"id: 72
","id: 121
",Anno 2070,75.22699905088609,73.0,18.0,33.0,
164,Project CARS,3925.0,61.0,,237.0,10.0,13.0,14.0,"id: 155
","id: 484
",Project CARS,75.184402658178,78.0,,,
165,Guild Wars,172.0,24.0,,454.0,12.0,15.0,31.0,"id: 69
","id: 151
",Guild Wars,80.76171532820929,78.0,1.0,17.0,22.0
166,Port Royale 2,186.0,5.0,,,13.0,15.0,,"id: 4
","id: 393
",Port Royale 2,71.1937862250642,11.0,22.0,28.0,
167,Rocksmith,1942.0,9.0,,,7.0,13.0,,"id: 101
","id: 168
",Rocksmith,81.6294383336605,15.0,34.0,,
168,Quake 4,37.0,45.0,,48.0,5.0,,,"id: 3
","id: 106
",Quake 4,74.1241224073851,157.0,1.0,18.0,19.0
169,The Cursed Crusade,0.0,0.0,,,31.0,,,"id: 151
","id: 1033
",The Cursed Crusade,59.9374999588709,7.0,1.0,22.0,
170,Knights of Honor,0.0,8.0,,,11.0,13.0,15.0,"id: 227
","id: 359
",Knights of Honor,82.8696576698514,20.0,1.0,17.0,22.0
171,DiRT Rally,6154.0,48.0,,99.0,10.0,13.0,14.0,"id: 28
","id: 484
",DiRT Rally,82.757992295766,95.0,32.0,,
172,Darksiders,280.0,115.0,,225.0,12.0,25.0,31.0,"id: 21
","id: 69
",Darksiders,79.2835487668775,348.0,1.0,17.0,38.0
173,,,,,,,,,,,,,,,,
174,RollerCoaster Tycoon,921.0,63.0,,,13.0,15.0,,"id: 379
","id: 713
",RollerCoaster Tycoon,82.15151607822109,161.0,28.0,33.0,
175,The Whispered World,1552.0,13.0,,347.0,2.0,9.0,31.0,"id: 296
","id: 350
",The Whispered World,77.2022418303692,36.0,17.0,27.0,
176,Grand Theft Auto III,847.0,372.0,,41.0,5.0,10.0,13.0,"id: 17
","id: 121
",Grand Theft Auto III,85.2550426740614,1139.0,1.0,33.0,38.0
177,F.E.A.R. Perseus Mandate,95.0,24.0,,820.0,5.0,,,"id: 129
","id: 221
",F.E.A.R. Perseus Mandate,72.5546674169415,65.0,1.0,18.0,19.0
178,World of Zoo,0.0,0.0,,,13.0,,,"id: 43
","id: 994
",World of Zoo,60.0,1.0,,,
179,Breach,1648.0,0.0,,,15.0,24.0,,"id: 415
","id: 970
",Breach,0.0,0.0,1.0,18.0,39.0
180,Duke Nukem Forever,64.0,0.0,,6.0,5.0,,,"id: 2222
","id: 5340
",Duke Nukem Forever,0.0,0.0,1.0,18.0,27.0
181,Hotel Giant 2,1921.0,2.0,,,13.0,15.0,,"id: 379
","id: 649
",Hotel Giant 2,50.0,1.0,,,
182,Bejeweled 3,368.0,16.0,,,9.0,15.0,31.0,"id: 101
","id: 154
",Bejeweled 3,74.9982272171674,44.0,,,
183,Half-Life,35.0,794.0,,4.0,5.0,9.0,31.0,"id: 3
","id: 22
",Half-Life,89.1262274657179,1892.0,1.0,18.0,19.0
184,The Movies,0.0,28.0,,52.0,13.0,15.0,,"id: 391
","id: 1148
",The Movies,79.59802187718181,92.0,28.0,,
185,Homefront,354.0,45.0,,6.0,5.0,,,"id: 1
","id: 21
",Homefront,69.01140264612269,149.0,1.0,17.0,22.0
186,Singularity,0.0,0.0,,,,,,"id: 2381
","id: 4138
",Singularity,0.0,0.0,18.0,,
187,The Night of the Rabbit,0.0,15.0,,347.0,2.0,9.0,31.0,"id: 147
","id: 226
",The Night of the Rabbit,90.88203950872399,22.0,17.0,27.0,
188,F1 2014,819.0,7.0,,99.0,10.0,13.0,14.0,"id: 620
","id: 1148
",F1 2014,73.433015741909,16.0,32.0,,
189,Euro Truck Simulator,769.0,8.0,,60.0,10.0,13.0,32.0,"id: 405
","id: 994
",Euro Truck Simulator,58.9665365859551,24.0,32.0,,
190,Worms Reloaded,212.0,7.0,,433.0,8.0,15.0,,"id: 55
","id: 350
",Worms Reloaded,75.3301129823535,33.0,1.0,27.0,
191,R.U.S.E.,4845.0,7.0,,522.0,11.0,15.0,24.0,"id: 19
","id: 129
",R.U.S.E.,70.1787829164975,9.0,1.0,18.0,22.0
192,Far Cry,103.0,102.0,,25.0,5.0,,,,,Far Cry,78.03013810974791,378.0,1.0,18.0,
193,Overlord,0.0,0.0,,,12.0,,,"id: 174
","id: 3510
",Overlord,0.0,0.0,17.0,,
194,,,,,,,,,,,,,,,,
195,Far Cry 3,103.0,683.0,,118.0,5.0,31.0,,"id: 64
","id: 72
",Far Cry 3,83.68374096969809,1581.0,1.0,21.0,23.0
196,Lost Horizon,992.0,4.0,,,2.0,9.0,31.0,"id: 424
","id: 687
",Lost Horizon,71.111010066684,11.0,22.0,,
197,Assassin's Creed,18.0,359.0,,7.0,8.0,31.0,,"id: 22
","id: 121
",Assassin's Creed,73.3914919786278,1304.0,1.0,17.0,18.0
198,Clive Barker's Jericho,5071.0,23.0,,418.0,5.0,,,"id: 16
","id: 129
",Clive Barker's Jericho,76.4821817898102,71.0,1.0,17.0,18.0
199,Far Cry 2,103.0,98.0,,118.0,5.0,31.0,,"id: 1
","id: 21
",Far Cry 2,71.96027582203189,386.0,1.0,33.0,38.0
200,Bulletstorm,0.0,84.0,,6.0,5.0,,,"id: 25
","id: 87
",Bulletstorm,79.73239733964971,279.0,1.0,18.0,27.0
201,Trapped Dead,0.0,0.0,,,15.0,31.0,,"id: 5
",,Trapped Dead,40.0,2.0,1.0,,
202,Virtua Tennis 4,777.0,10.0,,,14.0,,,"id: 274
","id: 311
",Virtua Tennis 4,86.61574583717331,31.0,,,
203,Borderlands 2,225.0,470.0,,6.0,5.0,12.0,,"id: 350
","id: 453
",Borderlands 2,84.5661127644806,1394.0,1.0,18.0,27.0
204,Street Fighter IV,2885.0,47.0,,350.0,4.0,,,"id: 61
","id: 107
",Street Fighter IV,80.64110107481059,129.0,1.0,,
205,Crysis 2,36.0,151.0,,25.0,5.0,31.0,,"id: 132
","id: 453
",Crysis 2,77.5255425731642,451.0,1.0,18.0,23.0
