01_game_name,02_hltb_name,03_hltb_id,04_time_main,05_time_plus,06_time_100,07_time_allstyle,08_count_main,09_count_plus,10_count_100,11_count_allstyle,12_count_completed,13_count_speedrun,14_count_backlog,15_count_playing,16_count_retired,17_review_score,18_count_review
Trials Fusion,trials fusion,17507,24037,85532,335689,44661,77,42,4,123,382,0,1072,12,212,71,166
Sniper Elite,sniper elite,8678,46122,54147,72494,50923,56,19,11,86,315,0,1758,30,231,63,64
Homeworld Remastered Collection,homeworld: remastered collection,24517,76298,77090,123941,90530,20,16,20,56,219,0,1954,22,136,82,40
Syberia,syberia,9521,34809,42161,43980,38125,228,63,99,390,1193,3,3127,58,212,76,294
Max Payne 3,max payne 3,5739,36170,46244,111217,39094,1385,558,44,1987,5975,5,4805,58,326,80,1470
The Testament of Sherlock Holmes,the testament of sherlock holmes,10227,43975,47056,48827,45239,76,44,64,184,525,0,1362,18,100,75,113
Just Cause 3,just cause 3,26404,64589,132315,219398,131689,256,546,227,1029,2682,1,5405,109,624,71,645
Ridge Racer Unbounded,ridge racer: unbounded,7812,27976,48019,66078,38009,17,8,5,30,76,0,670,12,99,59,26
Bejeweled 3,bejeweled 3,1001,15214,40559,166683,48061,34,34,21,89,320,0,1272,20,331,71,74
Port Royale 2,port royale 2,7227,82818,136200,360000,154082,1,3,1,5,21,0,164,1,17,76,9
Devil May Cry 4,devil may cry 4,2499,40166,52331,222917,46012,276,101,10,387,1475,0,1771,11,184,78,460
Emergency 2012,emergency 2012: the quest for peace,24124,69960,0,0,69960,1,0,0,1,3,0,1,0,5,60,1
GRID,grid,69224,76792,118562,200357,117764,26,31,17,74,140,0,1003,31,72,63,66
Euro Truck Simulator,euro truck simulator,3198,75090,181800,337940,155180,6,3,3,12,47,0,574,16,211,61,14
Hotel Giant 2,hotel giant 2,4528,11640,0,0,11640,2,0,0,2,5,0,83,3,11,0,0
Stronghold 3,stronghold 3,9280,25200,0,25200,25200,1,0,1,2,36,0,333,9,65,45,6
Legendary,legendary,5238,18709,22756,24897,20594,72,29,14,115,251,0,867,7,105,54,81
F1 2015,f1 2015,28936,48132,84792,142124,61458,10,5,1,16,94,0,1360,40,333,56,25
Mafia,mafia,5517,57834,66198,73893,62750,187,134,70,391,1155,1,1135,79,130,84,359
Battlefield 2,battlefield 2,935,33706,107892,354511,75490,38,13,7,58,304,0,426,9,268,81,103
Hearts of Iron III,hearts of iron iii,4368,52961,272520,878180,165002,9,2,3,14,84,0,963,11,249,76,19
War for the Overworld,war for the overworld,25538,51572,91566,165851,66512,21,11,2,34,112,0,1348,15,101,72,18
The Whispered World,the whispered world,10263,37315,42271,47611,40271,67,24,41,132,400,0,1669,25,173,69,83
Grand Theft Auto V,grand theft auto v,4064,114053,175021,287093,157481,2316,2572,690,5578,16076,23,8682,308,1196,87,4608
Max Payne,max payne,5736,29253,33209,41547,30999,901,205,91,1197,4030,3,3330,43,297,82,1057
Unreal Tournament 2004,unreal tournament 2004,10832,52795,71932,109330,60575,38,15,7,60,389,1,838,16,234,83,88
Sacred 3,sacred 3,20253,30571,33425,59469,36295,15,23,7,45,126,2,1039,14,101,53,45
Left 4 Dead,left 4 dead,5209,25111,63927,225130,37252,355,155,26,536,3807,3,3821,93,1311,79,692
Half-Life 2,half-life 2,4248,46830,55870,69880,52022,2164,874,532,3570,12585,16,9378,129,901,88,2384
Borderlands 2,borderlands 2,1274,108648,194595,463167,182557,927,1604,327,2858,10890,13,11756,196,2199,82,2282
Farming Simulator 2011,farming simulator 2011,24341,0,0,334920,334920,0,0,1,1,6,0,22,2,19,60,2
Gothic 3,gothic 3,4025,162996,254345,440752,250535,45,100,29,174,398,0,1645,22,175,73,137
Peggle Nights,peggle nights,6949,12893,24489,51302,14544,97,14,3,114,418,0,582,8,99,73,86
Half-Life,half-life,4247,43523,50390,55120,44970,1482,416,265,2163,7676,18,6276,100,872,84,1626
Virtua Tennis 4,virtua tennis 4,10966,32103,51000,139500,42399,21,3,4,28,117,0,166,5,46,74,31
Magicka,magicka,5549,37576,55120,166404,46577,209,108,17,334,2058,3,5435,63,1549,70,301
Supreme Commander 2,supreme commander 2,9484,51367,83994,165816,74528,25,14,4,43,314,0,2081,18,312,71,47
Street Fighter X Tekken,street fighter x tekken,9246,8261,31390,140705,15424,59,21,4,84,342,3,642,15,110,69,104
DiRT 2,colin mcrae: dirt 2,1804,50978,77182,105282,73772,62,53,43,158,507,0,711,5,255,79,148
EVE Online,eve online,3214,7581010,12220515,0,9729738,6,4,0,10,86,0,768,30,637,79,29
Football Manager 2016,football manager 2016,31881,974606,990000,3899925,1759304,8,4,1,13,98,0,84,6,137,79,26
Front Mission Evolved,front mission evolved,3730,26995,33240,50024,28035,48,8,1,57,164,0,875,8,114,57,38
Alone in the Dark,alone in the dark,394,33676,43782,53727,41773,36,17,21,74,227,0,623,9,70,57,98
Darkspore,darkspore,2249,60441,159900,0,79118,7,3,0,10,26,0,97,3,60,59,7
Assassin's Creed Syndicate,assassin's creed: syndicate,26706,67565,119382,194366,118515,485,949,379,1813,3840,0,4076,71,307,73,1234
Sleeping Dogs,sleeping dogs,8640,55073,79920,122655,77492,564,876,310,1750,4912,4,4262,37,546,82,1229
GRID Autosport,grid autosport,19521,116011,223731,573600,195720,26,26,6,58,181,0,1036,18,233,68,69
Blitzkrieg 2 Anthology,blitzkrieg 2,22846,73004,90000,154400,100300,3,1,3,7,19,0,189,3,15,71,7
Mortal Kombat X,mortal kombat x,21255,20133,54777,179969,28131,425,142,11,578,2110,0,1929,58,330,75,556
Spore Galactic Adventures,spore: galactic adventures,8986,29855,78527,162357,49046,9,9,3,21,207,0,647,17,188,68,21
The Inner World,the inner world,13782,24332,26019,27808,25893,43,23,33,99,246,0,1012,9,58,73,57
Men of War,men of war,5881,140370,142359,147781,142009,5,6,2,13,59,0,874,13,99,78,16
Dead Island,dead island,2302,65991,98921,172071,92893,297,498,99,894,3282,9,4848,54,1397,68,754
NBA 2K16,nba 2k16,29893,63843,255222,984313,126432,27,13,3,43,221,0,511,3,217,73,72
Terraria,terraria,9705,177952,312687,640107,342852,376,406,328,1110,4372,4,7430,218,2476,85,1117
DiRT 3,dirt 3,2574,50654,83013,146947,70606,69,55,17,141,482,0,1472,13,628,76,146
DiRT Rally,dirt rally,26481,101604,231057,517190,183027,26,10,9,45,251,0,3253,81,533,77,95
Goodbye Deponia,goodbye deponia,14153,36508,44050,44079,40445,101,46,69,216,717,1,1834,21,88,78,139
RACE On,race 07: race on,7512,0,0,0,0,0,0,0,0,3,0,148,2,27,40,1
LEGO The Hobbit,lego the hobbit,16635,31723,56670,132379,66362,172,59,159,390,1018,1,3441,79,248,68,226
Machinarium,machinarium,5478,18389,19240,21820,19050,387,80,259,726,2549,3,3723,32,421,77,534
F1 2014,f1 2014,21845,22140,105608,132208,70053,5,4,3,12,40,0,163,7,47,72,17
Portal 2,portal 2,7231,30953,49135,76391,37456,3867,1595,475,5937,23343,53,10560,259,676,91,4561
Elven Legacy,elven legacy,3091,30544,43750,146700,52974,1,3,1,5,16,0,373,4,34,63,4
Euro Truck Simulator 2,euro truck simulator 2,3199,156369,320226,1504536,423208,34,32,19,85,498,0,3070,149,938,79,215
Botanicula,botanicula,1285,12481,13851,18273,14241,198,148,127,473,1296,2,1973,16,255,76,259
World of Goo,world of goo,11283,21560,28608,49681,24316,224,107,28,359,1849,0,4178,43,804,75,338
Just Cause,just cause,4904,30186,71312,110666,44315,131,45,32,208,716,0,3529,32,562,59,182
Rocksmith 2014,rocksmith 2014,14190,330793,491280,599282,475674,7,8,5,20,130,0,836,27,218,84,48
Dead Space,dead space,2333,39660,45942,73052,43248,1364,751,171,2286,6312,9,8387,93,813,84,1765
Lost Planet 2,lost planet 2,5395,36606,54579,99515,41878,68,27,6,101,372,0,898,14,80,64,123
Section 8,section 8,8219,11227,14430,18547,11476,30,6,0,36,100,1,370,4,85,50,27
LEGO Jurassic World,lego jurassic world,24013,37667,63185,106731,77600,125,64,183,372,869,0,1299,28,79,73,207
Deponia,deponia,2448,29299,34852,37534,33062,331,139,189,659,1911,5,3278,40,367,73,370
